"No","Type","Region","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","Area","Nearest station：Name","Nearest station：Distance(minute)","Transaction-price(total)","Layout","Area(m^2)","Transaction-price(Unit price m^2)","Land shape","Frontage","Total floor area(m^2)","Year of construction","Building structure","Building use","Frontage road：Direction","Frontage road：Classification","Frontage road：Breadth(m)","City Planning","Maximus Building Coverage Ratio(%)","Maximus Floor-area Ratio(%)","Transaction period","Remarks"
87,"Pre-owned Condominiums, etc.","","28101","Hyogo Prefecture","Higashinada Ward,Kobe City","Mikage","Mikage (Hankyu)","6",45000000,"3LDK","65",,"","","","2010","RC","House","","",,"Category 2 Exclusive Mid-high Rise Residential District",60,300,"2nd quarter 2014","Dealings of redecorated real estate"
88,"Residential Land(Land and Building)","Residential Area","28101","Hyogo Prefecture","Higashinada Ward,Kobe City","Mikageishimachi","Ishiyagawa","3",850000000,"","1800",,"Irregular Shaped","27.0","2,000 m^2 or greater.","1987","RC","Housing Complex, Office, Shop","North","City Road",15.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
89,"Residential Land(Land and Building)","Residential Area","28101","Hyogo Prefecture","Higashinada Ward,Kobe City","Mikageishimachi","Ishiyagawa","10",33000000,"","65",,"Rectangular Shaped","5.4","100","2014","W","House","South","City Road",5.0,"Semi-industrial District",60,200,"2nd quarter 2014",""
90,"Pre-owned Condominiums, etc.","","28101","Hyogo Prefecture","Higashinada Ward,Kobe City","Mikageishimachi","Ishiyagawa","3",5500000,"1K","15",,"","","","1990","RC","House","","",,"Semi-industrial District",60,300,"2nd quarter 2014","Dealings of non-redecorating real estate"
91,"Residential Land(Land and Building)","Residential Area","28101","Hyogo Prefecture","Higashinada Ward,Kobe City","Mikagegunge","Sumiyoshi (JR/Rokko Liner)","9",150000000,"","360",,"Semi-trapezoidal Shaped","19.5","290","1996","S","Housing Complex","East","City Road",7.9,"Category 1 Exclusive Low Rise Residential District",60,150,"2nd quarter 2014",""
92,"Pre-owned Condominiums, etc.","","28101","Hyogo Prefecture","Higashinada Ward,Kobe City","Mikagegunge","Mikage (Hankyu)","2",5200000,"1K","20",,"","","","1984","RC","House","","",,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014","Dealings of redecorated real estate"
93,"Residential Land(Land and Building)","Residential Area","28101","Hyogo Prefecture","Higashinada Ward,Kobe City","Mikagehommachi","Mikage (Hanshin)","7",10000000,"","45",,"Semi-rectangular Shaped","4.0","55","1975","W","House","North","City Road",8.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
94,"Residential Land(Land and Building)","Residential Area","28101","Hyogo Prefecture","Higashinada Ward,Kobe City","Mikagehommachi","Mikage (Hanshin)","4",43000000,"","110",,"Rectangular Shaped","7.0","130","1996","W","House","Northeast","City Road",6.0,"Semi-industrial District",60,200,"2nd quarter 2014",""
95,"Pre-owned Condominiums, etc.","","28101","Hyogo Prefecture","Higashinada Ward,Kobe City","Mikagehommachi","Mikage (Hanshin)","3",5300000,"1K","10",,"","","","1987","RC","House","","",,"Category 1 Residential District",60,200,"2nd quarter 2014","Dealings of redecorated real estate"
96,"Residential Land(Land and Building)","Residential Area","28101","Hyogo Prefecture","Higashinada Ward,Kobe City","Mikageyamate","Mikage (Hankyu)","20",81000000,"","460",,"Semi-rectangular Shaped","19.0","310","1988","W","House","North","City Road",4.5,"Category 1 Exclusive Low Rise Residential District",50,100,"2nd quarter 2014","Dealings including private road"
97,"Residential Land(Land Only)","Residential Area","28101","Hyogo Prefecture","Higashinada Ward,Kobe City","Mikageyamate","Mikage (Hankyu)","8",90000000,"","360",250000,"Semi-trapezoidal Shaped","25.0","","","","","North","City Road",2.5,"Category 1 Exclusive Low Rise Residential District",60,150,"2nd quarter 2014",""
98,"Residential Land(Land Only)","Residential Area","28101","Hyogo Prefecture","Higashinada Ward,Kobe City","Motoyamakitamachi","Okamoto (Hyogo)","15",13000000,"","90",140000,"Semi-rectangular Shaped","5.4","","","","","South","City Road",6.0,"Category 1 Exclusive Low Rise Residential District",50,100,"2nd quarter 2014",""
99,"Residential Land(Land and Building)","Residential Area","28101","Hyogo Prefecture","Higashinada Ward,Kobe City","Motoyamakitamachi","Okamoto (Hyogo)","11",35000000,"","75",,"Irregular Shaped","","85","1994","W","House","South","City Road",4.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
100,"Pre-owned Condominiums, etc.","","28101","Hyogo Prefecture","Higashinada Ward,Kobe City","Motoyamanakamachi","Settsumotoyama","7",21000000,"3LDK","60",,"","","","1995","RC","House","","",,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014","Dealings in which auction or arbiter participates"
