"No","Type","Region","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","Area","Nearest station：Name","Nearest station：Distance(minute)","Transaction-price(total)","Layout","Area(m^2)","Transaction-price(Unit price m^2)","Land shape","Frontage","Total floor area(m^2)","Year of construction","Building structure","Building use","Frontage road：Direction","Frontage road：Classification","Frontage road：Breadth(m)","City Planning","Maximus Building Coverage Ratio(%)","Maximus Floor-area Ratio(%)","Transaction period","Remarks"
145,"Residential Land(Land Only)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Nagasakadai","Kanazawa","1H-1H30",7400000,"","200",37000,"Rectangular Shaped","8.9","","","","","Northwest","Prefectural Road",24.5,"Semi-residential District",60,200,"2nd quarter 2014",""
146,"Residential Land(Land Only)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Nagasakamachi","Kanazawa","1H-1H30",21000000,"","250",83000,"Semi-shaped","12.0","","","","","West","Access Road",6.0,"Category 2 Residential District",60,200,"2nd quarter 2014",""
147,"Residential Land(Land and Building)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Nagata","Kanazawa","8",7500000,"","40",,"Irregular Shaped","11.0","70","1982","S","Office, Shop","Northwest","Prefectural Road",30.0,"Near Commercial District",80,300,"2nd quarter 2014",""
148,"Residential Land(Land and Building)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Nagadohe","Kanazawa","21",32000000,"","130",,"Semi-trapezoidal Shaped","7.0","115","2014","W","House","North","City Road",4.5,"Semi-industrial District",60,200,"2nd quarter 2014",""
149,"Residential Land(Land and Building)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Nagadohe","Kanazawa","15",4200000,"","65",,"Semi-shaped","5.0","60","","W","House","South","Road",3.6,"Near Commercial District",80,300,"2nd quarter 2014",""
150,"Residential Land(Land Only)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Nagamachi","Kanazawa","20",17000000,"","230",74000,"Semi-rectangular Shaped","11.0","","","","","Southwest","City Road",4.3,"Near Commercial District",80,300,"2nd quarter 2014",""
151,"Residential Land(Land Only)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Nagamachi","Kanazawa","20",27000000,"","450",60000,"Semi-rectangular Shaped","28.0","","","","","No facing road","",,"Category 1 Residential District",60,200,"2nd quarter 2014",""
152,"Residential Land(Land and Building)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Nagamachi","Kanazawa","18",31000000,"","95",,"Rectangular Shaped","7.0","105","2014","W","House","North","City Road",4.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
153,"Residential Land(Land and Building)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Nakamuramachi","Kanazawa","26",9100000,"","165",,"Irregular Shaped","11.0","50","1983","W","House","East","City Road",4.0,"Semi-industrial District",60,200,"2nd quarter 2014",""
154,"Pre-owned Condominiums, etc.","","17201","Ishikawa Prefecture","Kanazawa City","Nakamuramachi","Kanazawa","26",4300000,"","35",,"","","","1989","SRC","House","","",,"Commercial District",80,400,"2nd quarter 2014","Dealings of non-redecorating real estate"
155,"Residential Land(Land Only)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Naruwa","Kanazawa","30-60minutes",3600000,"","95",37000,"Semi-rectangular Shaped","8.0","","","","","Southeast","City Road",4.0,"Semi-industrial District",60,200,"2nd quarter 2014",""
156,"Residential Land(Land and Building)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Nishiizumi","Kanazawa","30-60minutes",26000000,"","130",,"Rectangular Shaped","8.3","140","2014","W","House","Southeast","City Road",6.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
157,"Residential Land(Land Only)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Nishiizumi","Kanazawa","30-60minutes",5500000,"","70",78000,"Semi-rectangular Shaped","6.4","","","","","Northeast","Road",4.6,"Category 1 Residential District",60,200,"2nd quarter 2014",""
158,"Residential Land(Land Only)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Nishiizumi","Kanazawa","30-60minutes",5500000,"","80",68000,"Rectangular Shaped","","","","","","Northeast","Road",4.6,"Category 1 Residential District",60,200,"2nd quarter 2014",""
159,"Residential Land(Land and Building)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Nishiizumi","Kanazawa","30-60minutes",26000000,"","130",,"Rectangular Shaped","8.5","140","2014","W","House","Southeast","City Road",6.3,"Category 1 Residential District",60,200,"2nd quarter 2014",""
160,"Residential Land(Land and Building)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Nishikanazawa","Kanazawa","1H-1H30",4500000,"","100",,"Semi-rectangular Shaped","7.0","50","1971","W","House","East","Road",4.5,"Category 1 Residential District",60,200,"2nd quarter 2014",""
161,"Residential Land(Land Only)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Nishikanazawa","Nishikanazawa","12",9000000,"","125",72000,"Semi-rectangular Shaped","8.0","","","","","South","City Road",5.0,"Category 2 Residential District",60,200,"2nd quarter 2014",""
162,"Residential Land(Land and Building)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Nishikanazawa","Nishikanazawa","13",16000000,"","135",,"Semi-rectangular Shaped","9.5","130","1997","W","House, Shop","South","Prefectural Road",8.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
163,"Residential Land(Land and Building)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Nishikanazawa","Nishikanazawa","14",23000000,"","95",,"Semi-rectangular Shaped","6.5","100","2014","","House","Northeast","City Road",4.5,"Category 1 Residential District",60,200,"2nd quarter 2014",""
164,"Residential Land(Land and Building)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Nishikimachi","Kanazawa","1H-1H30",23000000,"","145",,"Irregular Shaped","10.3","105","2014","W","House","Southwest","City Road",5.7,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014","Dealings including private road"
165,"Pre-owned Condominiums, etc.","","17201","Ishikawa Prefecture","Kanazawa City","Nishikimachi","Kanazawa","1H-1H30",3600000,"2DK","45",,"","","","1985","RC","House","","",,"Category 2 Residential District",60,200,"2nd quarter 2014","Dealings of non-redecorating real estate"
166,"Residential Land(Land and Building)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Nishicho","Kanazawa","20",4000000,"","100",,"Semi-square Shaped","3.8","90","","W","House","Southwest","Road",3.0,"Commercial District",80,400,"2nd quarter 2014",""
167,"Residential Land(Land and Building)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Nishicho","Kanazawa","20",4000000,"","80",,"Rectangular Shaped","5.9","55","","W","House","Southwest","Road",3.0,"Commercial District",80,400,"2nd quarter 2014",""
168,"Residential Land(Land and Building)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Nukashimbo","Kanazawa","1H30-2H",11000000,"","135",,"Semi-rectangular Shaped","7.5","80","1979","W","House","South","City Road",6.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
169,"Residential Land(Land Only)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Nukashimbo","Kanazawa","1H30-2H",11000000,"","165",65000,"Semi-trapezoidal Shaped","","","","","","North","City Road",6.0,"Category 2 Residential District",,,"2nd quarter 2014",""
170,"Residential Land(Land and Building)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Nomachi","Kanazawa","30-60minutes",53000000,"","610",,"Semi-rectangular Shaped","20.0","135","","LS","House","Southeast","City Road",7.5,"Category 1 Exclusive Mid-high Rise Residential District",50,200,"2nd quarter 2014",""
171,"Residential Land(Land and Building)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Nomachi","Kanazawa","30-60minutes",13000000,"","280",,"Semi-rectangular Shaped","10.0","250","","S","Other","Northwest","City Road",4.0,"Near Commercial District",80,200,"2nd quarter 2014","Dealings in which auction or arbiter participates"
172,"Residential Land(Land Only)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Nomachi","Kanazawa","30-60minutes",7500000,"","110",67000,"Irregular Shaped","5.0","","","","","Southeast","City Road",5.8,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
173,"Residential Land(Land Only)","Commercial Area","17201","Ishikawa Prefecture","Kanazawa City","Hashibacho","Kanazawa","24",15000000,"","95",160000,"Semi-rectangular Shaped","37.0","","","","","West","National Highway",22.0,"Commercial District",80,400,"2nd quarter 2014",""
174,"Residential Land(Land and Building)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Hattamachi","Morimoto","30-60minutes",9800000,"","320",,"Irregular Shaped","15.5","260","1977","W","House","Southwest","City Road",4.5,"Urbanization Control Area",60,200,"2nd quarter 2014",""
175,"Residential Land(Land and Building)","Commercial Area","17201","Ishikawa Prefecture","Kanazawa City","Hikida","Higashikanazawa","23",65000000,"","530",,"Irregular Shaped","15.0","470","1994","S","Office, Warehouse","Northeast","City Road",25.0,"Semi-industrial District",60,200,"2nd quarter 2014",""
176,"Residential Land(Land and Building)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Hikida","Higashikanazawa","19",13000000,"","160",,"Rectangular Shaped","11.0","130","1985","W","House","East","City Road",6.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
177,"Residential Land(Land Only)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Hikidamachi","Kanazawa","21",13000000,"","210",61000,"Rectangular Shaped","13.5","","","","","West","City Road",6.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
178,"Pre-owned Condominiums, etc.","","17201","Ishikawa Prefecture","Kanazawa City","Hikosomachi","Kanazawa","11",2300000,"1DK","20",,"","","","1989","RC","House","","",,"Near Commercial District",80,300,"2nd quarter 2014","Dealings of non-redecorating real estate"
179,"Residential Land(Land and Building)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Fukuhisamachi","Morimoto","15",12000000,"","105",,"Rectangular Shaped","6.4","100","1988","W","House","Northeast","Road",4.5,"Category 1 Residential District",60,200,"2nd quarter 2014",""
180,"Residential Land(Land Only)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Fukumasumachi","Kanazawa","1H30-2H",11000000,"","165",65000,"Rectangular Shaped","11.0","","","","","West","City Road",6.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
181,"Residential Land(Land Only)","Commercial Area","17201","Ishikawa Prefecture","Kanazawa City","Fujiekita","Kanazawa","30-60minutes",59000000,"","760",77000,"Semi-trapezoidal Shaped","18.0","","","","","West","City Road",14.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
182,"Residential Land(Land and Building)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Fushimishimmachi","Kanazawa","1H-1H30",48000000,"","510",,"Semi-shaped","19.5","340","1987","W","House","East","City Road",10.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
183,"Residential Land(Land and Building)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Futakuchimachi","Kanazawa","19",26000000,"","185",,"Irregular Shaped","","125","2014","W","House","West","City Road",8.0,"Semi-industrial District",60,200,"2nd quarter 2014",""
184,"Residential Land(Land and Building)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Futakuchimachi","Kanazawa","19",26000000,"","220",,"Irregular Shaped","","125","2014","W","House","West","City Road",8.0,"Semi-industrial District",60,200,"2nd quarter 2014",""
185,"Residential Land(Land Only)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Futakuchimachi","Kanazawa","19",22000000,"","280",79000,"Semi-rectangular Shaped","11.5","","","","","Southwest","City Road",16.0,"Semi-industrial District",60,200,"2nd quarter 2014",""
186,"Residential Land(Land and Building)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Heiwamachi","Kanazawa","1H-1H30",87000000,"","2,000 m^2 or greater.",,"Rectangular Shaped","22.0","1400","1989","RC","Housing Complex","Southwest","City Road",11.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
187,"Residential Land(Land Only)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Heiwamachi","Kanazawa","1H-1H30",45000000,"","860",52000,"Rectangular Shaped","","","","","","No facing road","",,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
188,"Residential Land(Land Only)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Heiwamachi","Kanazawa","1H-1H30",14000000,"","310",44000,"Rectangular Shaped","13.0","","","","","West","Road",6.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
189,"Residential Land(Land and Building)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Hogomachi","Nishikanazawa","7",13000000,"","160",,"Semi-rectangular Shaped","8.0","125","2014","W","House","Southeast","City Road",12.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
190,"Residential Land(Land Only)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Hondamachi","Kanazawa","30-60minutes",8000000,"","120",68000,"Rectangular Shaped","12.3","","","","","Northwest","City Road",4.8,"Category 1 Residential District",60,200,"2nd quarter 2014",""
