"No","Type","Region","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","Area","Nearest station：Name","Nearest station：Distance(minute)","Transaction-price(total)","Layout","Area(m^2)","Transaction-price(Unit price m^2)","Land shape","Frontage","Total floor area(m^2)","Year of construction","Building structure","Building use","Frontage road：Direction","Frontage road：Classification","Frontage road：Breadth(m)","City Planning","Maximus Building Coverage Ratio(%)","Maximus Floor-area Ratio(%)","Transaction period","Remarks"
61,"Residential Land(Land and Building)","Residential Area","05201","Akita Prefecture","Akita City","Shogunnomukaiyama","Tsuchizaki","28",28000000,"","165",,"Rectangular Shaped","10.5","120","2014","W","House","South","City Road",6.0,"Category 1 Exclusive Low Rise Residential District",50,80,"2nd quarter 2014",""
62,"Residential Land(Land Only)","Residential Area","05201","Akita Prefecture","Akita City","Shintoda","Akita","30-60minutes",7800000,"","330",23000,"Semi-rectangular Shaped","18.7","","","","","North","City Road",5.0,"Category 1 Exclusive Low Rise Residential District",40,60,"2nd quarter 2014",""
63,"Residential Land(Land Only)","Residential Area","05201","Akita Prefecture","Akita City","Senshumeitokumachi","Akita","14",5000000,"","75",68000,"Semi-shaped","5.7","","","","","North","City Road",7.0,"Category 1 Residential District",80,200,"2nd quarter 2014",""
64,"Residential Land(Land Only)","Residential Area","05201","Akita Prefecture","Akita City","Senshumeitokumachi","Akita","13",12000000,"","175",69000,"Rectangular Shaped","20.0","","","","","West","City Road",8.0,"Category 1 Residential District",80,200,"2nd quarter 2014",""
65,"Pre-owned Condominiums, etc.","","05201","Akita Prefecture","Akita City","Senshuyadomemachi","Akita","15",6500000,"2LDK","65",,"","","","1987","SRC","House","","",,"Commercial District",80,400,"2nd quarter 2014","Dealings of non-redecorating real estate"
66,"Pre-owned Condominiums, etc.","","05201","Akita Prefecture","Akita City","Senshuyadomemachi","Akita","18",1200000,"1K","15",,"","","","1988","SRC","House","","",,"Commercial District",80,400,"2nd quarter 2014","Dealings of non-redecorating real estate"
67,"Pre-owned Condominiums, etc.","","05201","Akita Prefecture","Akita City","Senshuyadomemachi","Akita","18",1400000,"1K","15",,"","","","1988","SRC","House","","",,"Commercial District",80,400,"2nd quarter 2014","Dealings of non-redecorating real estate"
68,"Pre-owned Condominiums, etc.","","05201","Akita Prefecture","Akita City","Senshuyadomemachi","Akita","19",5500000,"2DK","40",,"","","","1991","SRC","House","","",,"Commercial District",80,400,"2nd quarter 2014","Dealings of non-redecorating real estate"
69,"Pre-owned Condominiums, etc.","","05201","Akita Prefecture","Akita City","Senshuyadomemachi","Akita","18",6000000,"2DK","40",,"","","","1987","SRC","House","","",,"Commercial District",80,400,"2nd quarter 2014","Dealings of non-redecorating real estate"
70,"Residential Land(Land and Building)","Residential Area","05201","Akita Prefecture","Akita City","Soegawa","Akita","30-60minutes",6000000,"","175",,"Semi-trapezoidal Shaped","6.5","110","1987","W","House","Northeast","City Road",5.5,"Category 1 Residential District",60,200,"2nd quarter 2014",""
71,"Residential Land(Land Only)","Residential Area","05201","Akita Prefecture","Akita City","Sotoasahikawa","Akita","30-60minutes",5500000,"","300",18000,"Rectangular Shaped","18.0","","","","","East","City Road",5.0,"Category 1 Exclusive Low Rise Residential District",50,80,"2nd quarter 2014",""
72,"Residential Land(Land Only)","Commercial Area","05201","Akita Prefecture","Akita City","Sotoasahikawa","Akita","1H-1H30",500000,"","65",7500,"Semi-rectangular Shaped","2.2","","","","","Southwest","Prefectural Road",18.0,"Semi-industrial District",60,200,"2nd quarter 2014",""
73,"Residential Land(Land and Building)","Residential Area","05201","Akita Prefecture","Akita City","Sotoasahikawa","Akita","30-60minutes",27000000,"","165",,"Rectangular Shaped","10.4","105","2014","W","House","West","City Road",7.0,"Category 1 Exclusive Low Rise Residential District",50,80,"2nd quarter 2014",""
74,"Residential Land(Land and Building)","Residential Area","05201","Akita Prefecture","Akita City","Sotoasahikawa","Akita","1H-1H30",9500000,"","210",,"Rectangular Shaped","13.3","165","1978","W","House","West","City Road",7.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
75,"Residential Land(Land Only)","Residential Area","05201","Akita Prefecture","Akita City","Sotoasahikawa","Akita","1H-1H30",3500000,"","95",37000,"Semi-rectangular Shaped","6.5","","","","","West","City Road",7.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
76,"Residential Land(Land Only)","Potential Residential Area","05201","Akita Prefecture","Akita City","Taiheimenagasaki","Akita","1H-1H30",2100000,"","2,000 m^2 or greater.",300,"Irregular Shaped","45.0","","","","","Southeast","City Road",11.5,"Urbanization Control Area",70,200,"2nd quarter 2014",""
77,"Residential Land(Land and Building)","Residential Area","05201","Akita Prefecture","Akita City","Tsuchizakiminatokita","Tsuchizaki","3",150000,"","195",,"&quot;Flag-shaped&quot; etc.","","100","","W","House","Northwest","City Road",4.0,"Category 1 Residential District",60,200,"2nd quarter 2014","Dealings including private road"
78,"Residential Land(Land Only)","Residential Area","05201","Akita Prefecture","Akita City","Tsuchizakiminatokita","Tsuchizaki","15",4200000,"","115",36000,"Rectangular Shaped","6.4","","","","","Northeast","Private Road",6.0,"Category 1 Exclusive Low Rise Residential District",50,80,"2nd quarter 2014",""
79,"Residential Land(Land and Building)","Residential Area","05201","Akita Prefecture","Akita City","Tsuchizakiminatokita","Tsuchizaki","13",15000000,"","220",,"Semi-rectangular Shaped","7.2","190","1989","W","House","West","City Road",7.8,"Near Commercial District",80,200,"2nd quarter 2014",""
80,"Residential Land(Land and Building)","Residential Area","05201","Akita Prefecture","Akita City","Tsuchizakiminatokita","Tsuchizaki","19",12000000,"","200",,"Semi-trapezoidal Shaped","10.0","135","2002","W","House","Southeast","City Road",8.0,"Category 1 Exclusive Low Rise Residential District",50,80,"2nd quarter 2014",""
81,"Residential Land(Land and Building)","Residential Area","05201","Akita Prefecture","Akita City","Tsuchizakiminatosozemmachi","Kamiiijima","14",17000000,"","230",,"Semi-rectangular Shaped","12.0","95","2013","W","House","Southwest","City Road",6.7,"Category 2 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014","Dealings including private road"
82,"Residential Land(Land and Building)","Residential Area","05201","Akita Prefecture","Akita City","Tsuchizakiminatosozemmachi","Tsuchizaki","19",17000000,"","115",,"Trapezoidal Shaped","8.1","95","2013","W","House","Southwest","City Road",6.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
