"No","Type","Region","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","Area","Nearest station：Name","Nearest station：Distance(minute)","Transaction-price(total)","Layout","Area(m^2)","Transaction-price(Unit price m^2)","Land shape","Frontage","Total floor area(m^2)","Year of construction","Building structure","Building use","Frontage road：Direction","Frontage road：Classification","Frontage road：Breadth(m)","City Planning","Maximus Building Coverage Ratio(%)","Maximus Floor-area Ratio(%)","Transaction period","Remarks"
60,"Residential Land(Land Only)","Residential Area","20201","Nagano Prefecture","Nagano City","Toyonomachiasano","Toyono","16",21000000,"","1500",14000,"Semi-trapezoidal Shaped","42.0","","","","","East","City Road",4.0,"Industrial District",60,200,"2nd quarter 2014",""
61,"Residential Land(Land Only)","Potential Residential Area","20201","Nagano Prefecture","Nagano City","Toyonomachiasano","Toyono","16",7600000,"","530",14000,"Semi-rectangular Shaped","17.0","","","","","Southeast","City Road",4.0,"Industrial District",60,200,"2nd quarter 2014",""
62,"Residential Land(Land Only)","Industrial Area","20201","Nagano Prefecture","Nagano City","Toyonomachiasano","Toyono","20",1800000,"","125",14000,"Semi-trapezoidal Shaped","14.0","","","","","Southeast","Road",5.0,"Industrial District",60,200,"2nd quarter 2014",""
63,"Residential Land(Land Only)","Industrial Area","20201","Nagano Prefecture","Nagano City","Toyonomachiasano","Toyono","20",18000000,"","1300",14000,"Irregular Shaped","50.0m or longer.","","","","","Southeast","Road",5.0,"Industrial District",60,200,"2nd quarter 2014",""
64,"Residential Land(Land and Building)","Commercial Area","20201","Nagano Prefecture","Nagano City","Toyonomachiasano","Toyono","16",17000000,"","460",,"Semi-trapezoidal Shaped","25.0","240","1993","S","House","Southeast","National Highway",18.0,"Semi-industrial District",60,200,"2nd quarter 2014",""
65,"Residential Land(Land Only)","Residential Area","20201","Nagano Prefecture","Nagano City","Toyonomachitoyono","Toyono","9",7100000,"","210",34000,"Semi-rectangular Shaped","16.0","","","","","Northwest","Prefectural Road",6.5,"Semi-industrial District",60,200,"2nd quarter 2014",""
66,"Residential Land(Land Only)","Residential Area","20201","Nagano Prefecture","Nagano City","Nakagoe","Kitanagano","11",14000000,"","320",42000,"Semi-rectangular Shaped","30.0","","","","","North","City Road",4.0,"Category 1 Exclusive Low Rise Residential District",50,80,"2nd quarter 2014",""
67,"Residential Land(Land Only)","Residential Area","20201","Nagano Prefecture","Nagano City","Nakagosho","Nagano (JR)","20",20000000,"","310",62000,"Semi-shaped","18.5","","","","","West","City Road",6.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
68,"Pre-owned Condominiums, etc.","","20201","Nagano Prefecture","Nagano City","Nakagosho","Nagano (JR)","13",14000000,"3LDK","65",,"","","","1998","RC","House","","",,"Category 1 Residential District",60,200,"2nd quarter 2014","Dealings of non-redecorating real estate"
69,"Pre-owned Condominiums, etc.","","20201","Nagano Prefecture","Nagano City","Nakagosho","Nagano (JR)","18",5000000,"3LDK","70",,"","","","1975","RC","House","","",,"Category 1 Residential District",60,200,"2nd quarter 2014","Dealings of non-redecorating real estate"
