"No","Type","Region","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","Area","Nearest station：Name","Nearest station：Distance(minute)","Transaction-price(total)","Layout","Area(m^2)","Transaction-price(Unit price m^2)","Land shape","Frontage","Total floor area(m^2)","Year of construction","Building structure","Building use","Frontage road：Direction","Frontage road：Classification","Frontage road：Breadth(m)","City Planning","Maximus Building Coverage Ratio(%)","Maximus Floor-area Ratio(%)","Transaction period","Remarks"
46,"Residential Land(Land and Building)","Residential Area","33101","Okayama Prefecture","Kita Ward,Okayama City","Shiraishi","Kitanagase","30-60minutes",19000000,"","165",,"Rectangular Shaped","10.0","85","1983","W","House","South","Private Road",6.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
47,"Residential Land(Land and Building)","Industrial Area","33101","Okayama Prefecture","Kita Ward,Okayama City","Shiraishihigashishimmachi","Kitanagase","29",81000000,"","1200",,"Trapezoidal Shaped","36.0","730","1988","S","Office, Warehouse","North","City Road",6.1,"Semi-industrial District",60,200,"2nd quarter 2014",""
48,"Residential Land(Land Only)","Commercial Area","33101","Okayama Prefecture","Kita Ward,Okayama City","Shin-yashikicho","Okayama","29",43000000,"","290",150000,"Semi-rectangular Shaped","12.0","","","","","North","Prefectural Road",27.0,"Near Commercial District",80,300,"2nd quarter 2014",""
49,"Forest Land","","33101","Okayama Prefecture","Kita Ward,Okayama City","Sugano","","",300000,"","360",,"","","","","","","","",,"",,,"2nd quarter 2014",""
50,"Residential Land(Land and Building)","Commercial Area","33101","Okayama Prefecture","Kita Ward,Okayama City","Seikibashi","Okayama","30-60minutes",24000000,"","260",,"Semi-trapezoidal Shaped","15.5","105","","W","House","West","City Road",16.0,"Commercial District",80,400,"2nd quarter 2014",""
51,"Pre-owned Condominiums, etc.","","33101","Okayama Prefecture","Kita Ward,Okayama City","Seikihommachi","Okayama","29",2800000,"1K","20",,"","","","1992","SRC","House","","",,"Commercial District",80,400,"2nd quarter 2014","Dealings of redecorated real estate"
52,"Residential Land(Land Only)","Residential Area","33101","Okayama Prefecture","Kita Ward,Okayama City","Daianjinakamachi","Daianji","4",20000000,"","480",42000,"Rectangular Shaped","35.0","","","","","South","City Road",5.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
53,"Residential Land(Land and Building)","Residential Area","33101","Okayama Prefecture","Kita Ward,Okayama City","Daianjiminamimachi","Daianji","3",28000000,"","150",,"Semi-square Shaped","12.0","100","2005","W","House","Northwest","City Road",6.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
54,"Residential Land(Land and Building)","Commercial Area","33101","Okayama Prefecture","Kita Ward,Okayama City","Daiku","Okayama","17",65000000,"","155",,"Semi-rectangular Shaped","7.5","390","1984","S","Housing Complex","Northwest","City Road",8.0,"Commercial District",80,400,"2nd quarter 2014",""
55,"Residential Land(Land Only)","Potential Residential Area","33101","Okayama Prefecture","Kita Ward,Okayama City","Takamatsuinari","Bitchutakamatsu","30-60minutes",900000,"","150",5900,"Semi-shaped","18.0","","","","","East","City Road",2.0,"Urbanization Control Area",60,200,"2nd quarter 2014",""
56,"Residential Land(Land Only)","Potential Residential Area","33101","Okayama Prefecture","Kita Ward,Okayama City","Takamatsuharakosai","Bitchutakamatsu","7",13000000,"","480",26000,"Irregular Shaped","16.0","","","","","Southeast","City Road",6.0,"Urbanization Control Area",60,200,"2nd quarter 2014",""
57,"Residential Land(Land Only)","Potential Residential Area","33101","Okayama Prefecture","Kita Ward,Okayama City","Takamatsuharakosai","Bitchutakamatsu","13",8500000,"","660",13000,"Trapezoidal Shaped","25.0","","","","","No facing road","",,"Urbanization Control Area",60,200,"2nd quarter 2014",""
58,"Residential Land(Land Only)","Residential Area","33101","Okayama Prefecture","Kita Ward,Okayama City","Takayanagihigashimachi","Okayama","16",16000000,"","180",89000,"Semi-square Shaped","12.0","","","","","East","City Road",4.0,"Semi-industrial District",60,200,"2nd quarter 2014",""
59,"Agricultural Land","","33101","Okayama Prefecture","Kita Ward,Okayama City","Takebechoshinada","","",7800,"","780",,"","","","","","","","",,"",,,"2nd quarter 2014",""
60,"Agricultural Land","","33101","Okayama Prefecture","Kita Ward,Okayama City","Takebechoshinada","","",3500,"","350",,"","","","","","","","",,"",,,"2nd quarter 2014",""
61,"Residential Land(Land and Building)","Residential Area","33101","Okayama Prefecture","Kita Ward,Okayama City","Takebechotakebekami","Takebe","25",5000000,"","510",,"Semi-rectangular Shaped","36.0","140","1989","W","House","Northeast","Private Road",5.0,"Outside Urban Planning Area",,,"2nd quarter 2014",""
62,"Residential Land(Land Only)","Commercial Area","33101","Okayama Prefecture","Kita Ward,Okayama City","Takebechofukuwatari","Fukuwatari","2",2000000,"","125",16000,"Semi-rectangular Shaped","17.0","","","","","South","Prefectural Road",5.5,"Outside Urban Planning Area",,,"2nd quarter 2014",""
63,"Residential Land(Land and Building)","Residential Area","33101","Okayama Prefecture","Kita Ward,Okayama City","Tanaka","Kitanagase","26",11000000,"","105",,"Semi-square Shaped","10.4","85","1978","W","House","West","City Road",4.0,"Category 2 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
64,"Residential Land(Land Only)","Residential Area","33101","Okayama Prefecture","Kita Ward,Okayama City","Tanaka","Kitanagase","20",44000000,"","750",58000,"Semi-rectangular Shaped","17.5","","","","","North","City Road",6.0,"Category 2 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
65,"Residential Land(Land and Building)","Residential Area","33101","Okayama Prefecture","Kita Ward,Okayama City","Tamasu","Okayama","1H-1H30",17000000,"","340",,"Rectangular Shaped","9.0","110","1977","W","House","Northeast","City Road",6.0,"Urbanization Control Area",60,200,"2nd quarter 2014",""
66,"Residential Land(Land and Building)","Residential Area","33101","Okayama Prefecture","Kita Ward,Okayama City","Tsushimakyomachi","Okayama","30-60minutes",68000000,"","440",,"Semi-trapezoidal Shaped","29.0","290","2007","LS","House","West","City Road",8.5,"Urbanization Control Area",60,200,"2nd quarter 2014","Dealings in which auction or arbiter participates"
67,"Residential Land(Land and Building)","Commercial Area","33101","Okayama Prefecture","Kita Ward,Okayama City","Tsushimasasagase","Okayama","30-60minutes",62000000,"","270",,"Semi-trapezoidal Shaped","5.5","430","1983","S","Housing Complex, Shop","Southwest","City Road",15.0,"Near Commercial District",60,200,"2nd quarter 2014",""
68,"Pre-owned Condominiums, etc.","","33101","Okayama Prefecture","Kita Ward,Okayama City","Tsushimanishizaka","Okayama","30-60minutes",35000000,"4LDK","85",,"","","","2012","RC","House","","",,"Near Commercial District",80,200,"2nd quarter 2014","Dealings of non-redecorating real estate"
69,"Residential Land(Land Only)","Residential Area","33101","Okayama Prefecture","Kita Ward,Okayama City","Tsushimahigashi","Hokaiin","8",20000000,"","175",110000,"Semi-rectangular Shaped","15.5","","","","","South","Private Road",6.0,"Category 1 Exclusive Low Rise Residential District",50,100,"2nd quarter 2014",""
70,"Residential Land(Land Only)","Potential Residential Area","33101","Okayama Prefecture","Kita Ward,Okayama City","Tsushimafukui","Hokaiin","23",200000,"","190",1100,"Semi-trapezoidal Shaped","","","","","","No facing road","",,"Category 1 Exclusive Low Rise Residential District",50,100,"2nd quarter 2014",""
71,"Residential Land(Land and Building)","Residential Area","33101","Okayama Prefecture","Kita Ward,Okayama City","Tsushimafukui","Hokaiin","20",18000000,"","120",,"Semi-rectangular Shaped","10.0","90","1984","W","House","Southeast","Private Road",4.0,"Category 1 Exclusive Low Rise Residential District",50,100,"2nd quarter 2014",""
72,"Residential Land(Land and Building)","Commercial Area","33101","Okayama Prefecture","Kita Ward,Okayama City","Tsushimaminami","Okayama","30-60minutes",120000000,"","95",,"Semi-shaped","","","","","","South","National Highway",29.0,"Near Commercial District",80,200,"2nd quarter 2014",""
73,"Pre-owned Condominiums, etc.","","33101","Okayama Prefecture","Kita Ward,Okayama City","Tsudaka","Okayama","1H-1H30",18000000,"4LDK","90",,"","","","2000","RC","House","","",,"Category 1 Residential District",60,200,"2nd quarter 2014","Dealings of non-redecorating real estate"
74,"Residential Land(Land and Building)","Residential Area","33101","Okayama Prefecture","Kita Ward,Okayama City","Tokaichihigashimachi","Omoto","30-60minutes",13000000,"","330",,"Semi-rectangular Shaped","15.0","130","1972","W","House","West","Private Road",3.6,"Category 1 Residential District",60,200,"2nd quarter 2014",""
75,"Residential Land(Land and Building)","Residential Area","33101","Okayama Prefecture","Kita Ward,Okayama City","Tomita","Omoto","14",10000000,"","125",,"Semi-trapezoidal Shaped","","85","1989","W","House","West","Private Road",4.0,"Category 1 Residential District",60,200,"2nd quarter 2014","Dealings including private road"
