"No","Type","Region","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","Area","Nearest station：Name","Nearest station：Distance(minute)","Transaction-price(total)","Layout","Area(m^2)","Transaction-price(Unit price m^2)","Land shape","Frontage","Total floor area(m^2)","Year of construction","Building structure","Building use","Frontage road：Direction","Frontage road：Classification","Frontage road：Breadth(m)","City Planning","Maximus Building Coverage Ratio(%)","Maximus Floor-area Ratio(%)","Transaction period","Remarks"
36,"Residential Land(Land and Building)","Residential Area","29201","Nara Prefecture","Nara City","Shichijonishimachi","Nishinokyo","21",13000000,"","175",,"Semi-rectangular Shaped","12.0","75","1969","LS","House","South","City Road",7.2,"Category 1 Exclusive Low Rise Residential District",40,60,"2nd quarter 2014",""
37,"Residential Land(Land Only)","Residential Area","29201","Nara Prefecture","Nara City","Shichijonishimachi","Nishinokyo","23",12000000,"","180",67000,"&quot;Flag-shaped&quot; etc.","3.4","","","","","Northwest","Village Road",5.0,"Urbanization Control Area",60,200,"2nd quarter 2014",""
38,"Pre-owned Condominiums, etc.","","29201","Nara Prefecture","Nara City","Sugaharacho","Yamatosaidaiji","6",21000000,"3LDK","70",,"","","","2002","RC","House","","",,"Commercial District",80,400,"2nd quarter 2014",""
39,"Residential Land(Land Only)","Residential Area","29201","Nara Prefecture","Nara City","Suzaku","Takanohara","23",33000000,"","320",100000,"Semi-square Shaped","17.5","","","","","Southeast","City Road",8.0,"Category 1 Exclusive Low Rise Residential District",40,60,"2nd quarter 2014",""
40,"Residential Land(Land and Building)","Residential Area","29201","Nara Prefecture","Nara City","Surugamachi","Nara","7",24000000,"","180",,"Semi-rectangular Shaped","9.0","105","","W","House","South","City Road",4.0,"Commercial District",80,400,"2nd quarter 2014",""
41,"Pre-owned Condominiums, etc.","","29201","Nara Prefecture","Nara City","Surugamachi","Nara","6",15000000,"3LDK","65",,"","","","1999","RC","House","","",,"Commercial District",80,400,"2nd quarter 2014","Dealings of non-redecorating real estate"
42,"Residential Land(Land and Building)","Residential Area","29201","Nara Prefecture","Nara City","Daianji","Nara","21",11000000,"","200",,"Semi-shaped","11.0","120","1971","W","House","East","Private Road",4.0,"Category 1 Exclusive Low Rise Residential District",60,200,"2nd quarter 2014",""
43,"Residential Land(Land Only)","Residential Area","29201","Nara Prefecture","Nara City","Takabatakecho","Kintetsunara","30-60minutes",12000000,"","145",84000,"Semi-rectangular Shaped","8.5","","","","","North","City Road",5.1,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
44,"Residential Land(Land and Building)","Residential Area","29201","Nara Prefecture","Nara City","Takabatakecho","Kintetsunara","30-60minutes",41000000,"","165",,"Semi-trapezoidal Shaped","10.0","105","","","","East","City Road",3.6,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
45,"Residential Land(Land and Building)","Residential Area","29201","Nara Prefecture","Nara City","Tanakacho","Obitoke","4",4000000,"","135",,"Semi-rectangular Shaped","10.0","105","1973","W","House","North","Private Road",4.1,"Urbanization Control Area",60,200,"2nd quarter 2014",""
46,"Pre-owned Condominiums, etc.","","29201","Nara Prefecture","Nara City","Tsurumainishimachi","Gakuenmae (Nara)","11",4700000,"3LDK","60",,"","","","1985","RC","House","","",,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014","Dealings of non-redecorating real estate"
